epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1170.8,0.40808,0.29836,0.86448,0.96207,0.93916,0.96334,0.80702,0.63405,0.41203,0.99892,0.00131601,0.00131601,0.00131601
90,1184.5,0.40077,0.29037,0.85654,0.96178,0.9395,0.96349,0.80871,0.62761,0.40786,0.99479,0.00126604,0.00126604,0.00126604
91,1197.17,0.38405,0.28341,0.85575,0.96958,0.93059,0.96407,0.81507,0.6291,0.4069,0.99921,0.00122025,0.00122025,0.00122025
92,1209.3,0.39536,0.28439,0.85806,0.97215,0.93131,0.96239,0.81074,0.63391,0.40798,1.00042,0.00117868,0.00117868,0.00117868
93,1221.76,0.39424,0.28601,0.85201,0.9695,0.93437,0.96341,0.813,0.62559,0.3988,0.99794,0.00114138,0.00114138,0.00114138
94,1234.78,0.37803,0.28076,0.84984,0.9642,0.93369,0.96295,0.81335,0.62434,0.39698,1.00238,0.00110837,0.00110837,0.00110837
95,1247.48,0.38563,0.28174,0.85673,0.96864,0.93231,0.96283,0.81395,0.62785,0.40502,0.99678,0.00107971,0.00107971,0.00107971
96,1260.08,0.37916,0.27631,0.85168,0.97297,0.93083,0.96446,0.81791,0.63183,0.40187,0.99519,0.0010554,0.0010554,0.0010554
97,1273.01,0.37529,0.27611,0.84871,0.95706,0.94527,0.96521,0.81649,0.63412,0.39522,0.99579,0.00103548,0.00103548,0.00103548
98,1285.3,0.3743,0.27552,0.84327,0.97018,0.93084,0.96381,0.81787,0.6291,0.40704,0.99535,0.00101997,0.00101997,0.00101997
99,1297.96,0.37304,0.27349,0.85054,0.98412,0.92776,0.96424,0.81682,0.62892,0.40078,0.99654,0.00100888,0.00100888,0.00100888
100,1310.39,0.36601,0.2711,0.85078,0.97626,0.93001,0.96315,0.81824,0.62533,0.40066,0.99466,0.00100222,0.00100222,0.00100222
